,cant_carga,total_trips,demanda
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,50.0,1.0,50.0
202,70.0,2.0,140.0
203,50.0,1.0,50.0
204,30.0,2.0,60.0
205,40.0,1.0,40.0
206,0.0,0.0,0.0
207,50.0,1.0,50.0
208,150.0,2.0,300.0
209,70.0,1.0,70.0
210,0.0,0.0,0.0
211,80.0,1.0,80.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,50.0,2.0,100.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,5.0,1.0,5.0
225,0.0,0.0,0.0
226,40.0,2.0,80.0
227,80.0,1.0,80.0
228,150.0,2.0,300.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,30.0,1.0,30.0
232,0.0,0.0,0.0
233,10.0,1.0,10.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,40.0,1.0,40.0
238,40.0,1.0,40.0
239,10.0,2.0,20.0
240,30.0,2.0,60.0
241,200.0,1.0,200.0
242,240.0,1.0,240.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,250.0,3.0,750.0
249,100.0,3.0,300.0
250,50.0,2.0,100.0
251,80.0,2.0,160.0
252,70.0,4.0,280.0
253,80.0,2.0,160.0
254,220.0,2.0,440.0
255,40.0,3.0,120.0
256,30.0,1.0,30.0
257,60.0,1.0,60.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,50.0,5.0,250.0
261,50.0,4.0,200.0
262,50.0,4.0,200.0
263,60.0,3.0,180.0
264,50.0,4.0,200.0
265,40.0,3.0,120.0
266,100.0,3.0,300.0
267,30.0,3.0,90.0
268,0.0,0.0,0.0
269,55.0,4.0,220.0
270,50.0,7.0,350.0
271,35.0,3.0,105.0
272,80.0,7.0,560.0
273,70.0,2.0,140.0
274,55.0,2.0,110.0
275,44.0,2.0,88.0
276,100.0,3.0,300.0
277,50.0,3.0,150.0
